code, town,Denominazione,index,lat,lon
1,Cagliari,Dante (ang. via Todde),126,39.22567, 9.12544
2,Cagliari,S. Avendrace (ang. via Flumendosa),372,39.23010, 9.09898
3,Cagliari,Roma (fronte Stazione FS),369,39.21655, 9.10849
4,Cagliari,Mattei (ang. via Campania),271,39.23385, 9.11191
5,Cagliari,Merello (ang. via Oslavia),276,39.22348, 9.10868
6,Cagliari,Diaz (Hotel Mediterraneo),159,39.20783, 9.12411
7,Cagliari,Buoncammino (Anfiteatro Romano),51,39.22544, 9.11410
8,Cagliari,Campania (ang. via Capitanata),69,39.23241, 9.11369
9,Cagliari,Cocco Ortu (ang. via Foscolo),102,39.22263, 9.12149
10,Cagliari,Trento (uffici regionali),439,39.22513, 9.10277
