codice, città,Denominazione,indice,lat,lon
0184,Cagliari,Alghero piazza Repubblica,13,39.21659, 9.12562
0070,Cagliari,Buoncammino fronte Carcere,53,39.22547, 9.11407
0091,Cagliari,Cadello fronte uffici Citta Metropolitana,58,39.23862, 9.11755
0878,Cagliari,Cao di San Marco Cittadella della Musica,73,39.22700, 9.12246
0006,Cagliari,Ciusa Uffici Citta Metropolitana,101,39.23007, 9.12024
0170,Cagliari,D'Armi Ingegneria,132,39.22798, 9.11044
0283,Cagliari,Diaz Fiera,157,39.20577, 9.12771
0030,Cagliari,Matteotti capolinea 30 31,272,39.21551, 9.11022
0749,Cagliari,Regina Elena Bastione,352,39.21630, 9.11696
0217,Cagliari,San Benedetto Buon Pastore,385,39.22211, 9.12628
0152,Cagliari,Trento uffici regionali,439,39.22513, 9.10277



